strain	rpoB	gyrA	dnaK	recA	groEL	ftsZ	atpD	infB	blaTEM	blaCTX-M	tetM	vanA	mecA	aac6-Ib	sul1	qnrS	mcr-1	ermB	catA1	dfrA17	strA	aadA1	oqxAB	intI1	tnpA	IS26	traJ	repA	mobA	virB4	tra8	cbaABC	pks_island	clbB	ybtS	iroN	hyp_0417	hyp_1132	divergent_ompK	pseudo_fimH
Kpne_ST11_10	3		3	2	4	4	4	3	1	0	0	1	0	0	0	0	0	0	2	1	0	0		0	0	1	4	0	0	0	0	0	0	0	0	3	1	0	1	2
Kpne_ST11_16	3	4	4	4	4	3	4	4	0	2	0		0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	4	0	1	0	1	0	0	2	0	0	2
Kleb_pneu_isolate_011	4	4	1	4	4	4	3	4	0	1		3	0	0	0	0	0	0	0	0	1	1	0	0	4	0	4	4	4	0	3	0	0	4	1	0	0	2	1	1
Kpne_ST11_07	3	4	2	4	2	4	4	2	3	0	0	4	0		0	0	0	1	0	0	1	0	0	0	0	4	3	0	4	3	0	1	0	4	0	0	0	2	1	2
Kleb_pneu_isolate_017		2	0	4	4	4	4	4	1	1	1	4	0	0	0	2	1	0	1	0	0		0	0	0	0	0	4	1	0	4	0	1		0	0	2	1	0	2
Kpne_A06	3	4	4	2	4	4	4	4	0	0	0	4	0	3	2	0	0	0	0	0	0	1	1	4	2	0	0	1	2	0	3	0	0		0	0	0	0		3
Kpne_ST11_22	4	4	4	3	4	4	2	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	4	1	1	4	0	0	2	2	0	0	1	0	0	1	3	2	4
Kpne_A18	1	4	4	4	4	3	4	4	1	1	1	1	0	0	0	0	0		1		0	2	1	0	1	1	0	0	0	1	0	0	1	0	1	0		0	0	3
Kpne_ST11_04	4	4	4	4	3	4	4	4	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	4	0	1	0	0	0	2		0	0	1	0			1	3	1
Kleb_pneu_isolate_005	4	4	4	4	4	4	4	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	4	4	0	0	0	1	0	1	0		0	0	1	0		2	3
Kpne_A12	4	4	2	2	4	4	4	2	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0		4	4	4	0	0	0	0	3	1	0	0	2	0	1	0
Kleb_pneu_isolate_023	3	4	3	4	4	2	4	4	0	0	0	0	1		0	0	0	0	0	0	1	1	2	0	0	0	4	0	0	0	0	0	4	0	0	0	0	2		1
Kpne_ST11_25	3	4	3	4	4	4	4	4	0	0		1	1	0	0	0	0	0	0		0	0	1	2	0	0	4	1	0	0	0	0	4	0	1	0	2	2	3	0
Kpne_ST11_19	4	2	4	4	4	4	4	4	0	0	0	0	2	0	0	1	0	2	0	0	0	0	1	3	4	0	4	4	0	0	0	0	0	0	0	0	1	1	2	1
Kpne_A15	4	4		2	4	3	4	4	0	0	0		0	0	0	2	1	0	0	1	0	0	0	4	2	0	4	1	0	0	1	1	0	0	2	0	1	1	0	2
Ecol_B12	2	4	4	3	2	4	4	4	0	4		0	3	2	0	0		0	0	0	1	0	0	4	1	4	0	0		0		0	0	1	0	0	2	2	2	1
Esch_coli_isolate_102	4	2		4	4	4	4	3	0	3	0	0	4	0	0	0	0	0	1	0	0	0	0		0	1	4	1	0	0	0	1	1	0	1	2	0	2	3	0
Ecol_B18	4	2	4		4	4	4	3	2		0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	4	0	0	4	4	4	0	0	1	0	0	1	1	2	2
Esch_coli_isolate_108	3	2	4	4	3	2	4	2	0	3	0	0	4	2	0	0	0			0	0	1	0	0	0	0	0	1	4	2	0		0	0	0	1		2	2	1
Esch_coli_isolate_120	3	4	4	4	3	3	2	3	4	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	1	3	0	4	0		0	0	0	0	0	0	1	1	1	0
Ecol_ST48_22	4	3	4	4	4	4	4	4	4	4	0	2	0	4	0	0	1	1	0	0	0	0	2	4		4	0	0	0	0	0	0	0	0	0	0	1	1	3	1
Ecol_B03	4	4		4	3	4	4	4	4	3	2	0	4	4	0	1	0	0		0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	2	2	2
Ecol_ST48_13	4	3	4	2	3	2	4	3	4	4	0	0	0		1	0	0	1	0	0	0	0	1	3	1	3	0	0	0	1	0	1	0	0	1	0	1	2	3	3
Ecol_ST48_07	2	4	4	4	4	4	3	4	1	4	2	0	0	3	0	0	0	1	0	0	1	0	2	0	1	4	4	0	0	0	0	0	0	0	0	0	0	2	4	1
Ecol_B15	3	1	4	4	3	4	4	4	3	3	0	0	4	2	0	0	0	0	0	0	0	1	0	0	1	4	3	0	4	0	0	0	0	0	0	0	0	0	3	1
Ecol_B06		4	4	3	3	1	3	4	4	4	0	0	4	0	0	3	1	2	0	1	0	0	0	1	0	0	4	0	0	4	4	1	1	0	0	0	0	0	1	0
Ecol_B21	4	4	4	2	4	4	4	4	0	4	1	0	4	0	0	0	0	0	2	0	1	0		2	4		0	4	0	3	0	0	0	0	1	1	2	2	1	
Esch_coli_isolate_117	3	4	4	4	4	3	0	4	2	3	1	0	3	1	0	2	0	0	0	0	0	0	0	4	3	4	3	1	0	0	0	0	0	2	0	0	3	3	3	0
Esch_coli_isolate_105	4		2	3		4	3	3	0	0	0	0	2		4	0	0	0	1	0	0		0	0	4	0	4	2	0		0	0	1	0	0	0	1		1	0
Esch_coli_isolate_114		4	4	4	4	4	4	4	0	0	0	0	4	0	4	0	2	0	0	0	0		0	2	0	4	2	1	0	4	3	0	1	0	0	0	2	2	2	0
Esch_coli_isolate_111	4	4	4	3	4	4	4	4		0	0	1		0	4	0	0	0	0	0	0	0	0	3	0	4	4	0	0	4	0	0	0	0	0	0	0	2	1	1
Ecol_ST48_19	4	3	4	4	4	4	4	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	4	0	1	4	0	3	0	0	0	0	0	0	0	0	0	2
Ecol_ST48_01	4	4	3	2	4		4	4	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	4	4	4	0	4	0	0		0	1	1	0	2	1	0	1
Ecol_ST48_04	4	3	4	3	3	4	4	4	0	2	0	0		0	1	0	1	0	0	0	0	0	1	0	4		0	0	3	0	0	0	0	1	0	2	1	0	2	1
Ecol_B09	4		2	4	4	4	4	4	0	0	1	0	2	1	2	0	0	0	1	1	0	1	0	4	4	0	0	0	3	3	1	2	0	0	0	0	0	2	0	1
Ecol_ST48_10	4	4	3	4	4	3	3	3	1	2	0	0	4	1	0	0	0	0	0	0	0	0	1	4	0	0	4	0	3	0	0	0	0	0	0	0	1	2	2	3
Ecol_ST48_16	2	2	3		2		4	4	1	2	1	0	4	0	0	1	0	1	0	2	0	0	2	0	3	0	0	1	1	0	4		0	3	1	0	2	0	2	2
Ente_cloa_isolate_211	4	3	3	4	4	4	4		0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	4	4	0	2	0	1	0	0	0	0	0	1	1	2
Eclo_C18	4	4	4	3	4	4	4	3	0	0	0	0	0	1	0	0	2	0	0	2		0	2	0	0	0	0	0		0	1	0	0	1	0	0	1	2	2	0
Eclo_ST85_16	4	2	4	4	3	4	4		1	1	0	0	0	0	0	0	1	0	1	0		0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	3	1
Eclo_C09	4	4	4	4	4	4	4	4	0	0	0	2	0	1	0	0	1	2	0	0		0	0	2	1	0	3	0	2	0	4	1	0	0	0	0	0	1	0	0
Eclo_C03	4	4		2	3	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	4	0	0	4	0	1	0	3	0	0	0	1	0	2	2	1	2
Eclo_ST85_07	4	4	4	4	3	4	4	4	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0		0	0	4	4	0	0	2	0	0	1		0	1	0	3	1
Eclo_ST85_01	3	4	4	4	3	4	1	3	0		0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	1	0	1	3	0	0	0	2	1	2	1	0
Eclo_C06	4	1	4	4	4	4	2	4	0	0	1	2	0	0		0	1	2	0	0	0	4	1	0	0	2		1	0	4	4	0	0	0	0	0	2	2	2	0
Eclo_C12	4	4	2	4	1	4	4	4	0	0	4	0		0	0	0	0	0	0	1	2	4	0	3	4	0	4	4	0	0	0	0	0	0		1	0	3	2	2
Eclo_ST85_04	3	4	4	3	4	4	4		0	1	4	0	0	1	0	0	0	0	1	3	0	4	2	0	4		3	4	0	3		0	0	0	0	0	2		1	
Ente_cloa_isolate_202	4	4	4	3	3	3	4	4	0	0	3	0	0	0	0	1	1	0	0	0	4	3	0	0	4	0	3	0	4	1	1	0	1	3	0	1	0	3	2	1
Ente_cloa_isolate_205	4	4	4	2	0	4	4	3	0	1	3	0	1	1	0	1	0	0	0	0	3	0		3	4	0	4	4	4	1	0	0	0	0	0	1	0	3	2	2
Ente_cloa_isolate_217	4	4	3	4	2	4	4	4		1	0	2	0	0	0	1	0	1	0	0	3	0	1	1	0	3		0	4	0	0	0	0	0	0	0	3		0	0
Ente_cloa_isolate_214	4	3	4			4	3	4	0	1	0	2	0	0	0	0	0	0	2	0	4	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	2	3		1
Eclo_ST85_10	4	2	2	1	4	3	4	3	0	1	0	1	1	0	1	0	0	0	0	1	4	0	0		4	1	0	0	1	0	0	0	0	0	0	0	1	2	2	2
Eclo_ST85_13	4	4	3	4	4	4	4	3		0	0		0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	1	0	0	2	2	1	1
Eclo_C15	4	4	4	4	4	4	4	4	0	2	0	0	1	2	2	0	0	0	0	2	0	1	0	0	0	0	0	2	1	3	2	0	0	0	2	0	2	0	0	0
Ente_cloa_isolate_208	4	3		4	2	3	4	4		0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	4	1	3	3	1	0	1	0	2	0		0	3	0	2	0
Citr_freu_isolate_314	3	4	3	4	4	4	4	4		0	0	3	0	0	0	3	0	0	0	0	2	0	0	1	4	0	4	0	0	1	1	0	2	1	1	0	3	0	1	1
Cfre_D06	3	4	4	4	4	4	4	4	0	1	0	0	0		0	3	1	0	1	0	0	0	0	1	0	4	3	0	1		0		0	0	1	0	2	1	2	2
Cfre_D09	2	2	4	4	4	3	4	4	2	0	0	1	1	0	0	2		0		1	0	1	0	0	0	1	4	1	0	0	1	0	0	0	1	0	2	0	2	3
Citr_freu_isolate_305	3	4	3	4	4		4	4	1	0	0	0	0	1	1	4	2	0	0	0	1	1	0	1	0	0	4	0	4	0	4	0	1	0	1	0	2	0	1	1
Cfre_ST122_13	3	4	4	4	4	3	3	4	0	0	0	0	1	0	1	4	0	0	0	0	1	1	0	0	1	3	0	4	4	1	4	0	0	0	0		2	2	1	1
Cfre_ST122_01	4	4	4	3	4	4		4	0	0	0	0	0	0	0	1	1	1		0	0	0	0	0	4	2	4	2	4	4	0	0	1	1	0	0	1	1	2	0
Citr_freu_isolate_311	4	4	4	4	4	4	4	3	0	0	0	0	2	0	0	0	0	0		1	0	2	1	0	0	0	0	0	0	0	0		0	0	1	0	1	3	0	0
Cfre_D12	4	4	4	2	4	3	3	4	0	0	0	2	0	2	0	4	2	0	1	0	0	0	0	0	4	0	4	0	4	0	0	0	2	0	0	0	2	0	1	2
Cfre_D03	4	4	4	4	3	4	4	2	0	0	0	0	0	2	0	4	0		4	0	1		0	2	4	4	1	4	0	0	2	0	0	0	0	0	2	1	1	2
Citr_freu_isolate_308	4	4	3	4	4		2	4	1	0	0	0	0	0	0	4	4	0	4	0	0	1	0	3	0	3	0		3	0	4	0	0	0	0	1	2	0	0	0
Cfre_ST122_07	4	4	3	4	3	4	4	4	1	0	0	0		0	1	4	3	2	3	0	0	0	0	3	1	4	4	0		0	0	2	0	0	2	0	3	3	2	1
Cfre_ST122_04	2	4	3	3	4	4	4	4	0		1	0	0	0	0	4	4	1	3	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	1	0	3	1	0	2
Citr_freu_isolate_302	4	4	4	4	4	4	2	4	0	0	1	0	1	0	0	4	4	0	4	0	1	0	0	2	0	0	0	1	1	4	2	4	1	1	0	0	3	2	0	0
Cfre_ST122_10	3	4	4	4	4	4	2	3	0	0	0	0	0	1	1	4	0	0	3	0	3	0	0	4	4	0	0	0	1	1	1	2	0		1	1	1	0	2	2
Sent_ST159_07	4	4	4	4	4	4	2		2	1	0	0	1	0	0	0	1	0	1	3	0	2		0	4	4	4	0	0	4	4	0	0	0	0	0	1	1	1	0
Sent_ST159_04	4	4	4	4	4	4	4	4	0	1	1	0	0	0	0	1	0	2	0		0	0	0	0	4	0	4	1	0	2	1	0	0	0	0	1	1	3	3	2
Sent_E06	4	4	4	4	4	4	3	3	0	1	2	0	0	0	0	0	0	0	0	4	1	1	0	4	0	4	0	0	0	2	0	0	0	0	0	0	1	1	2	0
Sent_ST159_10	3	4	4	4	1	4	4	3	0	1	0	0	1	0	1	0	0	3	2	4	0	0	0	0	4	4	4	4	0	2	0	0	0	0	1	0	1	3	2	2
Sent_E03	4	3		0	4	4	4	2	0	0	0	0		1	0	2	0	0	1	4		0	4	4	0	2	3	3	0	0	0	1	0	2	1	3	2	1	2	0
Sent_E09	4	4	4	4		4	1	3	2	0		0	0	0	0	0	1	0	0	4	0	0	4	4	4	1	0	0	2	0	1	0	1	3	1	4	2	3	0	3
Sent_ST159_01	2	4	4	4	4	4	4		2	0	0	1	1	0	0	1	0	0	0	4	1	0	1	0	4	0		0	1	3	0	0	0	0	1	4	3		2	0
Salm_ente_isolate_402	3	3	2	2	4	4	4		0	0	0	0		1	0	0	0	1	0	3	1	0	4	0	2	0	3	0	0	0	4	1	0	0	0	0	0	1	2	1
Salm_ente_isolate_408	3	4	3	3	4	4	4		1	2	0	0	0	0	0	0	0	0	0	2	1	1	4	4	1	0	0	0	4	0	1	0	0	0	0	2	3	2	2	1
Salm_ente_isolate_411	2	4	1	3	3	4	4	4	0	0	0	0	2			0	1	0	3	3	0	1	0	0	0	0	4	4	0	4	0	3	0	2	1	0	0	2	2	
Salm_ente_isolate_405	3	2	4	4	3	1	3	4	1	1	0	0	0	1	0	1	0	0	0	4	0	0		1	0	4	0	4	0	1	0	0	0	0	0	0	2	0	2	2
Smar_ST196_01	4	4	3	3	4	4	4	4	1	0	0	0	0	0	1	0		4	0	0	0	1		4	0	0	3	0	0	0	1	0	0	0	3	0	1	0	0	0
Smar_F06	4	1	4	3	3	1	3	4	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	4	0	0	0	0	4	0	0	1	1	1			1	0	3	1
Smar_ST196_07	4	4	4		4	4	4	3	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	3	2	0	3		4	1	0	1	1	3	0	0	0	2	0
Smar_ST196_04	4	2	4	4	4	3	4	3	0	0	0	0	1	1	0	0		0	0	0		1	0	0	0	1	4	0	3	1	0	0	1	0	0	1	2	2	0	1
Serr_marc_isolate_505		4	4	4	4	4	4	4	0	0	1	0	1	0	1	0	0	0	0	0		0	0	4	0	2	0	1	0	3	0	0	1	2	0	3	3	0	2	2
Smar_F03	2	4	4	2	4	4	3	4	0	1	0	1		0	0	0	0	0	0	0	0	1	1	0	1	4	4	0	0	0	4	0	0	0	0	2	0	0	2	2
Serr_marc_isolate_502	4	3		1	4	4	3	4	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	2	1	3	1	1	0	0	0	1	2	1	1
